,id,name,name_vac
0,5206471,ПГ Транс,Специалист
1,3529,Сбербанк,Специалист
2,3529,Сбербанк,Специалист
3,3529,Сбербанк,Специалист
4,3856380,Эльбрус,Специалист
5,689473,Ворк,Специалист
6,4165729,Технический Осмотр,Специалист
7,3417745,Нотариальная контора Богатовой Светланы Вячеславовны,Специалист
8,10227,НОВИКОМБАНК,Специалист
9,4352,Почта России,Специалист
10,3279244,Управление Россельхознадзора по Самарской области,Специалист
11,3279244,Управление Россельхознадзора по Самарской области,Специалист
12,5124677,Коннект-Групп,Специалист
13,44822,МСК ГРУПП,Специалист
14,158720,Hoff,Специалист
15,4369697,ГРАН ЛИМИТЕД,Специалист
16,41512,ФАРМПЕРСПЕКТИВА,Специалист
17,2908987,Прага,Специалист
18,877527,Южноуральский лизинговый центр,Специалист
19,2748,Ростелеком,Специалист
20,3682560,ЭкоСтройРесурс,Специалист
21,2795,RUSINFO,Специалист
22,5299969,Премьер Эксперт,Специалист
23,23040,Банк Открытие,Специалист
24,81188,НКФ Дельта-Информ,Специалист
25,56759,"ИНТЕГРА-С, Самара",Специалист
26,3682560,ЭкоСтройРесурс,Специалист
27,3688085,МБУ Кировское,Специалист
28,3999455,Первая Уральская залоговая компания,Специалист
29,1740,Яндекс,Специалист
30,2245,Росгосстрах,Специалист
31,3529,Сбербанк,Специалист
32,1740,Яндекс,Специалист
33,7172,"Лента, федеральная розничная сеть",Специалист
34,3202195,ПЛЭКСПОСТ,Специалист
35,1740,Яндекс,Специалист
36,1740,Яндекс,Специалист
37,7172,"Лента, федеральная розничная сеть",Специалист
38,5111934,Правовая Коллегия Приоритет,Специалист
39,44822,МСК ГРУПП,Специалист
40,44272,ЭР-Телеком,Специалист
41,4250559,Агропарк Сервис,Специалист
42,4194831,Мастерская,Специалист
43,4299738,Независимость,Специалист
44,2908987,Прага,Специалист
45,64174,2ГИС,Специалист
46,78638,Тинькофф,Специалист
47,78638,Тинькофф,Специалист
48,1310515,Zoon.ru,Специалист
49,2198,Системный оператор Единой энергетической системы,Специалист
50,4194831,Мастерская,Специалист
51,2385575,Эстетика,Специалист
52,4966664,ТЛТ Косметик Проф,Специалист
53,2748,Ростелеком,Специалист
54,1740,Яндекс,Специалист
55,1740,Яндекс,Специалист
56,1432137,РосДеньги,Специалист
57,861244,МОНТ Самара,Специалист
58,46863,Алкогольная Региональная Компания,Специалист
59,1078606,Микрокредитная Компания Уно,Специалист
60,51,Всероссийский Банк Развития Регионов,Специалист
61,4369697,ГРАН ЛИМИТЕД,Специалист
62,106342,Деловая Автоматизация,Специалист
63,1740,Яндекс,Специалист
64,1308584,Департамент финансовых услуг,Специалист
