,vacancy,skill,prof
0,28840586,Java,Программист
1,28840586,Java SE,Программист
2,28840586,Java EE,Программист
3,28840586,SQL,Программист
4,28840586,Spring Framework,Программист
5,28840586,Hibernate ORM,Программист
6,28840586,HTML,Программист
7,28840586,CSS,Программист
8,28840586,jQuery,Программист
9,28840586,Bootstrap,Программист
10,28840586,Vue,Программист
11,28840586,AngularJS,Программист
12,31017795,Java,Программист
13,31017795,Java SE,Программист
14,31017795,Java EE,Программист
15,31017795,Spring Framework,Программист
16,31017795,Hibernate ORM,Программист
17,31017795,SQL,Программист
18,31017795,ООП,Программист
19,31263045,1С программирование,Программист
20,31571439,Java,Программист
21,31571439,Spring Framework,Программист
22,31571439,SQL,Программист
23,31571439,Java Enterprise,Программист
24,31971767,Целеустремленность,Менеджер
25,31971767,Обучение и развитие,Менеджер
26,31971767,Ответственность,Менеджер
27,31971767,Коммуникативные навыки,Менеджер
28,31971767,Амбициозность,Менеджер
29,31971767,умение работать в команде,Менеджер
30,31971767,нацеленность на результат,Менеджер
31,31971767,Стрессоустойчивость,Менеджер
32,31983924,Амбициозность,Специалист
33,31983924,Коммуникабельность,Специалист
34,31983924,Стрессоустойчивость,Специалист
35,31983924,Мобильность,Специалист
36,31983924,Работа в команде,Специалист
37,31983924,Ориентация на результат,Специалист
38,31983924,Активные продажи,Специалист
39,31983930,Коммуникабельность,Специалист
40,31983930,Амбициозность,Специалист
41,31983930,Ответственность,Специалист
42,31983930,организованность,Специалист
43,31983930,Исполнительность,Специалист
44,31983930,дисциплинированность,Специалист
45,33916123,Активные продажи,Менеджер
46,33916123,Ведение переговоров,Менеджер
47,33916123,Управление продажами,Менеджер
48,33916123,Холодные продажи,Менеджер
49,33916123,Проведение презентаций,Менеджер
50,33916123,Организаторские навыки,Менеджер
51,34139075,Разработка проектной документации,Инженер
52,34139075,AutoCAD,Инженер
53,34139075,Компас-3D,Инженер
54,34139075,Проектная документация,Инженер
55,34139075,Проектирование,Инженер
56,34139075,Обучение и развитие,Инженер
57,34139075,Корпоративная культура,Инженер
58,34139075,Корпоративная этика,Инженер
59,34139075,Планирование карьеры,Инженер
60,34319612,Ведение переговоров,Специалист
61,34319612,Обучение и развитие,Специалист
62,34319612,Работа в команде,Специалист
63,34319612,Прямые продажи,Специалист
64,34319612,Грамотная речь,Специалист
65,34827080,HTML5,Программист
66,34827080,CSS3,Программист
67,34827080,JavaScript,Программист
68,34827080,Vue.js,Программист
69,34827080,Ajax,Программист
70,34827080,Webscoket,Программист
71,34827080,SCSS,Программист
72,34827080,Less,Программист
73,34827080,Кроссбраузерная верстка,Программист
74,34827080,Webpack,Программист
75,34827080,OpenLayers,Программист
76,34827080,Leaflet,Программист
77,34827080,Bootstrap,Программист
78,35194421,Пользователь ПК,Менеджер
79,35194421,Грамотная речь,Менеджер
80,35194421,Работа с базами данных,Менеджер
81,35194421,Консультирование клиентов по телефону,Менеджер
82,35194421,Ведение переговоров,Менеджер
83,35194421,Работа с большим объемом информации,Менеджер
84,35194421,Работа в команде,Менеджер
85,35243986,Бизнес-анализ,Менеджер
86,35243986,Управление проектами,Менеджер
87,35243986,UML,Менеджер
88,35243986,Тайм-менеджмент,Менеджер
89,35243986,Project management,Менеджер
90,35243986,Управление персоналом,Менеджер
91,35243986,Ведение переговоров,Менеджер
92,35243986,Организаторские навыки,Менеджер
93,35243986,Планирование,Менеджер
94,35243986,Управление рисками,Менеджер
95,35243986,VR,Менеджер
96,35243986,AR,Менеджер
97,35243986,Unity 3D,Менеджер
98,35243986,Разработка нового продукта,Менеджер
99,35243986,Agile Project Management,Менеджер
100,35502432,Информационная безопасность,Инженер
101,35502432,Unix,Инженер
102,35502432,Windows Os,Инженер
103,35502432,SIEM,Инженер
104,35556776,React,Программист
105,35556776,React Native,Программист
106,35556776,Node.js,Программист
107,35556776,Typescript,Программист
108,35659919,Грамотная речь,Специалист
109,35659919,Прямые продажи,Специалист
110,35659919,Работа в команде,Специалист
111,35659919,Телефонные переговоры,Специалист
112,35659919,Сопровождение клиентов,Специалист
113,35659919,обучаемость,Специалист
114,35784515,Телефонные переговоры,Менеджер
115,35784515,телефонные продажи,Менеджер
116,35784515,Консультирование клиентов по телефону,Менеджер
117,35784515,Прием и распределение телефонных звонков,Менеджер
118,35784515,Грамотная речь,Менеджер
119,35784515,Деловое общение,Менеджер
120,35784515,Пользователь ПК,Менеджер
121,35867999,Холодные продажи,Менеджер
122,35867999,Активные продажи,Менеджер
123,35867999,Прямые продажи,Менеджер
124,35867999,Поиск и привлечение клиентов,Менеджер
125,35980548,Работа в команде,Сварщик
126,35980548,Корпоративная этика,Сварщик
127,35980548,Ориентация на результат,Сварщик
128,35980548,Организаторские навыки,Сварщик
129,35980612,Работа в команде,Сварщик
130,35980612,Обучение и развитие,Сварщик
131,35980612,Ориентация на результат,Сварщик
132,35980612,Организаторские навыки,Сварщик
133,35980612,Техническое обслуживание,Сварщик
134,36057819,AutoCAD,Менеджер
135,36057819,Autodesk Revit,Менеджер
136,36057819,Ведение переговоров,Менеджер
137,36057819,Заключение договоров,Менеджер
138,36057819,Проведение презентаций,Менеджер
139,36057819,Renga Architecture,Менеджер
140,36057819,Renga Structure,Менеджер
141,36057819,Renga MEP,Менеджер
142,36057819,BIM,Менеджер
143,36093250,Работа в команде,Сварщик
144,36093250,Корпоративная этика,Сварщик
145,36093250,Организаторские навыки,Сварщик
146,36093250,Ориентация на результат,Сварщик
147,36093250,Техническое обслуживание,Сварщик
148,36194049,Охрана труда и техника безопасности,Специалист
149,36194049,Организаторские навыки,Специалист
150,36194049,Промышленная безопасность,Специалист
151,36194049,Обучение и развитие,Специалист
152,36194049,Экологическая безопасность,Специалист
153,36444843,Проектная документация,Инженер
154,36444843,Документооборот,Инженер
155,36444843,Электронный документооборот,Инженер
156,36444843,Грамотность,Инженер
157,36444843,Ориентация на результат,Инженер
158,36444843,Работа с документами,Инженер
159,36444843,MS Word,Инженер
160,36444843,Чтение чертежей,Инженер
161,36451294,1С: Зарплата и управление персоналом,Программист
162,36451294,1С: Склад,Программист
163,36451294,1С: Бухгалтерия,Программист
164,36451294,1С программирование,Программист
165,36451294,1C: Бухгалтерия,Программист
166,36495998,JavaScript,Инженер
167,36495998,CSS3,Инженер
168,36495998,Git,Инженер
169,36495998,HTML5,Инженер
170,36495998,AngularJS,Инженер
171,36495998,Less,Инженер
172,36495998,Atlassian Jira,Инженер
173,36495998,Atlassian Confluence,Инженер
174,36519942,Холодные продажи,Менеджер
175,36519942,Прямые продажи,Менеджер
176,36519942,Обучение персонала,Менеджер
177,36519942,Телефонные переговоры,Менеджер
178,36519942,исходящие звонки,Менеджер
179,36519942,можно без резюме,Менеджер
180,36519942,Активные продажи,Менеджер
181,36519942,Планирование продаж,Менеджер
182,36519942,Деловая переписка,Менеджер
183,36519942,Навыки продаж,Менеджер
184,36519942,Деловое общение,Менеджер
185,36519942,Развитие продаж,Менеджер
186,36519942,Пользователь ПК,Менеджер
187,36519942,1С: Торговля,Менеджер
188,36519942,Грамотная речь,Менеджер
189,36519942,Работа в команде,Менеджер
190,36519942,Консультирование,Менеджер
191,36545085,Бизнес-анализ,Аналитик
192,36545085,UML,Аналитик
193,36545085,Управление проектами,Аналитик
194,36545085,BPMN,Аналитик
195,36545085,Руководство коллективом,Аналитик
196,36545085,Организаторские навыки,Аналитик
197,36545085,Навыки презентации,Аналитик
198,36545085,Деловая коммуникация,Аналитик
199,36545085,Разработка регламентов,Аналитик
200,36545085,Информационные технологии,Аналитик
201,36545085,Business Analysis,Аналитик
202,36545085,Аналитическое мышление,Аналитик
203,36545085,Системный подход,Аналитик
204,36545085,Ведение переговоров,Аналитик
205,36545085,Управление персоналом,Аналитик
206,36545085,Проведение презентаций,Аналитик
207,36599197,Активные продажи,Менеджер
208,36599197,Холодные продажи,Менеджер
209,36599197,Ведение переговоров,Менеджер
210,36599197,Проведение презентаций,Менеджер
211,36599197,B2B Продажи,Менеджер
212,36599207,Активные продажи,Менеджер
213,36599207,Холодные продажи,Менеджер
214,36599207,Ведение переговоров,Менеджер
215,36599207,Проведение презентаций,Менеджер
216,36599207,B2B Продажи,Менеджер
217,36599442,Активные продажи,Менеджер
218,36599442,Холодные продажи,Менеджер
219,36599442,Ведение переговоров,Менеджер
220,36599442,Проведение презентаций,Менеджер
221,36599442,B2B Продажи,Менеджер
222,36600197,Закупки,Менеджер
223,36600197,Госзаказ,Менеджер
224,36600197,B2B Продажи,Менеджер
225,36600197,B2G продажи,Менеджер
226,36600197,Продажи,Менеджер
227,36600197,Тендеры,Менеджер
228,36600197,Организация переговоров с представителями государственных органов,Менеджер
229,36600197,44ФЗ,Менеджер
230,36600197,223ФЗ,Менеджер
231,36681272,Работа в команде,Специалист
232,36681272,Работа с людьми,Специалист
233,36882872,Техническое обслуживание,Специалист
234,36882872,Настройка сетевых подключений,Специалист
235,36882872,Ведение переговоров,Специалист
236,36882872,Ремонтные работы,Специалист
237,36882872,Работа в команде,Специалист
238,36882872,Деловая переписка,Специалист
239,36882872,Деловое общение,Специалист
240,37033709,Управление проектами,Аналитик
241,37033709,Разработка технических заданий,Аналитик
242,37033709,Разработка проектной документации,Аналитик
243,37033709,Бизнес-анализ,Аналитик
244,37033709,Разработка нового продукта,Аналитик
245,37033709,Аналитическое мышление,Аналитик
246,37103331,Ruby On Rails,Программист
247,37103331,Ruby,Программист
248,37103331,MS SQL,Программист
249,37103331,Web Application Development,Программист
250,37103331,Работа с базами данных,Программист
251,37103331,ООП,Программист
252,37103331,SQL,Программист
253,37103331,MongoDB,Программист
254,37103331,REST/JSON,Программист
255,37337901,Ипотечное кредитование,Менеджер
256,37337901,Телефонные переговоры,Менеджер
257,37337901,Сопровождение клиентов,Менеджер
258,37337901,Претензионная работа,Менеджер
259,37488582,Java EE,Программист
260,37488582,Java,Программист
261,37488582,Spring Framework,Программист
262,37488582,Git,Программист
263,37488582,Java Servlets,Программист
264,37488582,SVN,Программист
265,37488582,Английский язык,Программист
266,37493028,Компас,Инженер
267,37493028,1С: Производство,Инженер
268,37493028,1С: Предприятие,Инженер
269,37493028,Компас-3D,Инженер
270,37542267,Поиск и привлечение клиентов,Менеджер
271,37542267,Холодные продажи,Менеджер
272,37542267,работа с текущей базой клиентов,Менеджер
273,37542267,1С: Торговля,Менеджер
274,37542267,Пользователь ПК,Менеджер
275,37542267,Прямые продажи,Менеджер
276,37542267,Навыки продаж,Менеджер
277,37542267,Сопровождение клиентов,Менеджер
278,37542267,Консультирование,Менеджер
279,37542267,Деловое общение,Менеджер
280,37542267,Работа с возражениями,Менеджер
281,37551967,Железнодорожные перевозки,Специалист
282,37551967,Транспортная логистика,Специалист
283,37551967,Деловая переписка,Специалист
284,37551967,Деловое общение,Специалист
285,37551967,Телефонные переговоры,Специалист
286,37551967,Работа в команде,Специалист
287,37551967,Заключение договоров,Специалист
288,37551967,Электронный документооборот,Специалист
289,37551967,ЭТРАН,Специалист
290,37551967,MS Outlook,Специалист
291,37586500,MS Outlook,Специалист
292,37586500,SAP,Специалист
293,37586500,Работа с поставщиками,Специалист
294,37586500,Закупки,Специалист
295,37586500,Закупка товаров и услуг,Специалист
296,37586500,ФЗ-223,Специалист
297,37586500,"ФЗ-44, ГК",Специалист
298,37631750,1С: Управление Торговлей,Программист
299,37631750,1С: Зарплата и управление персоналом,Программист
300,37631750,1С: Бухгалтерия,Программист
301,37641868,Контроль качества,Инженер
302,37677509,Навыки продаж,Менеджер
303,37677509,Навыки презентации,Менеджер
304,37677509,Работа в команде,Менеджер
305,37677509,CRM,Менеджер
306,37677509,Работа с возражениями,Менеджер
307,37677509,Ведение переговоров,Менеджер
308,37677509,Пользователь ПК,Менеджер
309,37677509,Заключение договоров,Менеджер
310,37677509,Грамотная речь,Менеджер
311,37698398,Adobe Photoshop,Инженер
312,37698398,Сметы,Инженер
313,37698398,Заключение договоров,Инженер
314,37698398,Пользователь ПК,Инженер
315,37698398,Прием и распределение телефонных звонков,Инженер
316,37734111,Активные продажи,Менеджер
317,37734111,Пользователь ПК,Менеджер
318,37734111,Мерчандайзинг,Менеджер
319,37734111,Работа в команде,Менеджер
320,37734111,Прямые продажи,Менеджер
321,37789843,SQL,Аналитик
322,37789843,MS SQL,Аналитик
323,37789843,Анализ данных,Аналитик
324,37789843,Работа с базами данных,Аналитик
325,37789843,Python,Аналитик
326,37789843,Git,Аналитик
327,37789843,Bitbucket,Аналитик
328,37789843,Github,Аналитик
329,37921885,Пользователь ПК,Специалист
330,37921885,Управление персоналом,Специалист
331,37921885,Деловое общение,Специалист
332,37921885,Творческое мышление,Специалист
333,37921885,Навыки составления отчетности,Специалист
334,37921885,Обучение,Специалист
335,37921885,Работа с документами,Специалист
336,37921885,Организация учебного процесса,Специалист
337,37941935,Заключение договоров,Специалист
338,37941935,Пользователь ПК,Специалист
339,37941935,Документальное сопровождение,Специалист
340,37941935,Договоры аренды,Специалист
341,37941935,Аренда объектов,Специалист
342,37973731,1С: Зарплата и управление персоналом,Специалист
343,37973731,MS PowerPoint,Специалист
344,37973731,Работа в команде,Специалист
345,37973731,Обучение и развитие,Специалист
346,37973731,MS Visio,Специалист
347,38082143,Java,Программист
348,38082143,Spring Framework,Программист
349,38082143,ООП,Программист
350,38082143,MySQL,Программист
351,38082143,PostgreSQL,Программист
352,38082143,Oracle Pl/SQL,Программист
353,38082143,Linux,Программист
354,38082143,Java SE,Программист
355,38082143,Java EE,Программист
356,38099653,B2B Продажи,Менеджер
357,38099653,Ведение переговоров,Менеджер
358,38099653,Поиск и привлечение клиентов,Менеджер
359,38099653,Развитие ключевых клиентов,Менеджер
360,38099653,Активные продажи,Менеджер
361,38099653,Лизинг,Менеджер
362,38099653,Корпоративные продажи,Менеджер
363,38111473,Кадровое делопроизводство,Специалист
364,38111473,Делопроизводство,Специалист
365,38111473,Входящая корреспонденция,Специалист
366,38129723,Информационные технологии,Технолог
367,38129723,Windows 7,Технолог
368,38129723,Грамотность,Технолог
369,38129723,Администрирование,Технолог
370,38129723,Управление временем,Технолог
371,38142828,1С: Торговля,Менеджер
372,38142828,1С: Торговля и склад,Менеджер
373,38142828,Закупки,Менеджер
374,38142828,1С: Склад,Менеджер
375,38157554,Активные продажи,Менеджер
376,38157554,Поиск и привлечение клиентов,Менеджер
377,38157554,1С: Предприятие 8,Менеджер
378,38162985,Английский язык,Аналитик
379,38162985,Atlassian Jira,Аналитик
380,38162985,Разработка технических заданий,Аналитик
381,38162985,Работа в команде,Аналитик
382,38162985,Atlassian Confluence,Аналитик
383,38174462,MS Project,Инженер
384,38174462,Строительство,Инженер
385,38174462,Работа в команде,Инженер
386,38174462,Управленческая отчетность,Инженер
387,38174462,Oracle Primavera,Инженер
388,38174462,Управление проектами,Инженер
389,38230928,Английский язык,Учитель
390,38269302,Активные продажи,Менеджер
