,vacancy,skill
0,25786571,руководство командой разработчиков
1,25786571,Разработка технических заданий
2,25786571,Управление разработкой
3,25786571,Разработка ПО
4,28840586,Java
5,28840586,Java SE
6,28840586,Java EE
7,28840586,SQL
8,28840586,Spring Framework
9,28840586,Hibernate ORM
10,28840586,HTML
11,28840586,CSS
12,28840586,jQuery
13,28840586,Bootstrap
14,28840586,Vue
15,28840586,AngularJS
16,31017795,Java
17,31017795,Java SE
18,31017795,Java EE
19,31017795,Spring Framework
20,31017795,Hibernate ORM
21,31017795,SQL
22,31017795,ООП
23,31263045,1С программирование
24,31571439,Java
25,31571439,Spring Framework
26,31571439,SQL
27,31571439,Java Enterprise
28,31983924,Амбициозность
29,31983924,Коммуникабельность
30,31983924,Стрессоустойчивость
31,31983924,Мобильность
32,31983924,Работа в команде
33,31983924,Ориентация на результат
34,31983924,Активные продажи
35,31983930,Коммуникабельность
36,31983930,Амбициозность
37,31983930,Ответственность
38,31983930,организованность
39,31983930,Исполнительность
40,31983930,дисциплинированность
41,34139075,Разработка проектной документации
42,34139075,AutoCAD
43,34139075,Компас-3D
44,34139075,Проектная документация
45,34139075,Проектирование
46,34139075,Обучение и развитие
47,34139075,Корпоративная культура
48,34139075,Корпоративная этика
49,34139075,Планирование карьеры
50,34319612,Ведение переговоров
51,34319612,Обучение и развитие
52,34319612,Работа в команде
53,34319612,Прямые продажи
54,34319612,Грамотная речь
55,34827080,HTML5
56,34827080,CSS3
57,34827080,JavaScript
58,34827080,Vue.js
59,34827080,Ajax
60,34827080,Webscoket
61,34827080,SCSS
62,34827080,Less
63,34827080,Кроссбраузерная верстка
64,34827080,Webpack
65,34827080,OpenLayers
66,34827080,Leaflet
67,34827080,Bootstrap
68,35502432,Информационная безопасность
69,35502432,Unix
70,35502432,Windows Os
71,35502432,SIEM
72,35556776,React
73,35556776,React Native
74,35556776,Node.js
75,35556776,Typescript
76,35659919,Грамотная речь
77,35659919,Прямые продажи
78,35659919,Работа в команде
79,35659919,Телефонные переговоры
80,35659919,Сопровождение клиентов
81,35659919,обучаемость
82,35980548,Работа в команде
83,35980548,Корпоративная этика
84,35980548,Ориентация на результат
85,35980548,Организаторские навыки
86,35980612,Работа в команде
87,35980612,Обучение и развитие
88,35980612,Ориентация на результат
89,35980612,Организаторские навыки
90,35980612,Техническое обслуживание
91,36093250,Работа в команде
92,36093250,Корпоративная этика
93,36093250,Организаторские навыки
94,36093250,Ориентация на результат
95,36093250,Техническое обслуживание
96,36104684,MS Outlook
97,36104684,1С: Склад
98,36104684,Обучение и развитие
99,36104684,Кадровая политика
100,36194049,Охрана труда и техника безопасности
101,36194049,Организаторские навыки
102,36194049,Промышленная безопасность
103,36194049,Обучение и развитие
104,36194049,Экологическая безопасность
105,36444843,Проектная документация
106,36444843,Документооборот
107,36444843,Электронный документооборот
108,36444843,Грамотность
109,36444843,Ориентация на результат
110,36444843,Работа с документами
111,36444843,MS Word
112,36444843,Чтение чертежей
113,36451294,1С: Зарплата и управление персоналом
114,36451294,1С: Склад
115,36451294,1С: Бухгалтерия
116,36451294,1С программирование
117,36451294,1C: Бухгалтерия
118,36495998,JavaScript
119,36495998,CSS3
120,36495998,Git
121,36495998,HTML5
122,36495998,AngularJS
123,36495998,Less
124,36495998,Atlassian Jira
125,36495998,Atlassian Confluence
126,36545085,Бизнес-анализ
127,36545085,UML
128,36545085,Управление проектами
129,36545085,BPMN
130,36545085,Руководство коллективом
131,36545085,Организаторские навыки
132,36545085,Навыки презентации
133,36545085,Деловая коммуникация
134,36545085,Разработка регламентов
135,36545085,Информационные технологии
136,36545085,Business Analysis
137,36545085,Аналитическое мышление
138,36545085,Системный подход
139,36545085,Ведение переговоров
140,36545085,Управление персоналом
141,36545085,Проведение презентаций
142,36681272,Работа в команде
143,36681272,Работа с людьми
144,36882872,Техническое обслуживание
145,36882872,Настройка сетевых подключений
146,36882872,Ведение переговоров
147,36882872,Ремонтные работы
148,36882872,Работа в команде
149,36882872,Деловая переписка
150,36882872,Деловое общение
151,37033709,Управление проектами
152,37033709,Разработка технических заданий
153,37033709,Разработка проектной документации
154,37033709,Бизнес-анализ
155,37033709,Разработка нового продукта
156,37033709,Аналитическое мышление
157,37067559,Инженерные системы
158,37067559,Системы видеонаблюдения
159,37067559,Работа с локальными сетями
160,37067564,Пользователь ПК
161,37067564,Умение работать в коллективе
162,37067564,Управление проектами
163,37067564,Управление качеством
164,37067564,Документальное сопровождение
165,37103331,Ruby On Rails
166,37103331,Ruby
167,37103331,MS SQL
168,37103331,Web Application Development
169,37103331,Работа с базами данных
170,37103331,ООП
171,37103331,SQL
172,37103331,MongoDB
173,37103331,REST/JSON
174,37132849,Активные продажи
175,37132849,Навыки продаж
176,37132849,Клиентоориентированность
177,37132849,Прямые продажи
178,37132849,Работа в команде
179,37488582,Java EE
180,37488582,Java
181,37488582,Spring Framework
182,37488582,Git
183,37488582,Java Servlets
184,37488582,SVN
185,37488582,Английский язык
186,37493028,Компас
187,37493028,1С: Производство
188,37493028,1С: Предприятие
189,37493028,Компас-3D
190,37551967,Железнодорожные перевозки
191,37551967,Транспортная логистика
192,37551967,Деловая переписка
193,37551967,Деловое общение
194,37551967,Телефонные переговоры
195,37551967,Работа в команде
196,37551967,Заключение договоров
197,37551967,Электронный документооборот
198,37551967,ЭТРАН
199,37551967,MS Outlook
200,37586500,MS Outlook
201,37586500,SAP
202,37586500,Работа с поставщиками
203,37586500,Закупки
204,37586500,Закупка товаров и услуг
205,37586500,ФЗ-223
206,37586500,"ФЗ-44, ГК"
207,37631750,1С: Управление Торговлей
208,37631750,1С: Зарплата и управление персоналом
209,37631750,1С: Бухгалтерия
210,37641868,Контроль качества
211,37662359,Грамотная речь
212,37662359,Копирайтинг
213,37662359,Перевод
214,37662359,Написание текстов
215,37662359,Работа в команде
216,37662359,Английский язык
217,37662359,Анализ рынка
218,37662359,Локализация продукта
219,37662359,AppStore
220,37662359,Google Play
221,37689481,Сварочные работы
222,37698398,Adobe Photoshop
223,37698398,Сметы
224,37698398,Заключение договоров
225,37698398,Пользователь ПК
226,37698398,Прием и распределение телефонных звонков
227,37789843,SQL
228,37789843,MS SQL
229,37789843,Анализ данных
230,37789843,Работа с базами данных
231,37789843,Python
232,37789843,Git
233,37789843,Bitbucket
234,37789843,Github
235,37921885,Пользователь ПК
236,37921885,Управление персоналом
237,37921885,Деловое общение
238,37921885,Творческое мышление
239,37921885,Навыки составления отчетности
240,37921885,Обучение
241,37921885,Работа с документами
242,37921885,Организация учебного процесса
243,37941935,Заключение договоров
244,37941935,Пользователь ПК
245,37941935,Документальное сопровождение
246,37941935,Договоры аренды
247,37941935,Аренда объектов
248,37973731,1С: Зарплата и управление персоналом
249,37973731,MS PowerPoint
250,37973731,Работа в команде
251,37973731,Обучение и развитие
252,37973731,MS Visio
253,38082143,Java
254,38082143,Spring Framework
255,38082143,ООП
256,38082143,MySQL
257,38082143,PostgreSQL
258,38082143,Oracle Pl/SQL
259,38082143,Linux
260,38082143,Java SE
261,38082143,Java EE
262,38111473,Кадровое делопроизводство
263,38111473,Делопроизводство
264,38111473,Входящая корреспонденция
265,38129723,Информационные технологии
266,38129723,Windows 7
267,38129723,Грамотность
268,38129723,Администрирование
269,38129723,Управление временем
270,38162985,Английский язык
271,38162985,Atlassian Jira
272,38162985,Разработка технических заданий
273,38162985,Работа в команде
274,38162985,Atlassian Confluence
275,38174462,MS Project
276,38174462,Строительство
277,38174462,Работа в команде
278,38174462,Управленческая отчетность
279,38174462,Oracle Primavera
280,38174462,Управление проектами
281,38230928,Английский язык
282,38232423,Грамотная речь
283,38232423,1С: Документооборот
284,38232423,Грамотность
285,38232423,Поиск информации в интернет
286,38232423,Навыки межличностного общения
287,38239578,MS PowerPoint
288,38239578,Бизнес-анализ
289,38239578,Статистический анализ
290,38239578,MS Excel
291,38239578,Аналитический склад ума
292,38276975,Linux
293,38276975,SQL
294,38326059,Грамотная речь
295,38326059,Работа в команде
296,38326059,Клиентоориентированность
297,38326059,Обучение и развитие
298,38326059,Грамотность
299,38326073,Грамотная речь
300,38326073,Работа в команде
301,38326073,Пользователь ПК
302,38326073,Грамотность
303,38330188,Грамотность
304,38330188,Высокая скорость печати
305,38330188,Работа с большим объемом информации
306,38330188,Работа в команде
307,38330227,Грамотность
308,38330227,Высокая скорость печати
309,38330227,Работа с большим объемом информации
310,38330227,Работа в команде
311,38368435,Управленческий учет
312,38368435,PostgreSQL
313,38368435,1С программирование
314,38368435,1С: Предприятие 8
315,38368435,MS SQL
316,38412523,SAP PP
317,38412523,SAP APO
318,38417529,AutoCAD
319,38417529,Гражданское строительство
320,38417529,Проектирование зданий и сооружений
321,38417529,Проектирование
322,38417529,Проектно-конструкторская деятельность
323,38417529,Проектная документация
324,38417529,Чтение чертежей
325,38420983,AutoCAD
326,38420983,Пользователь ПК
327,38420983,Проектирование
328,38420983,Нефтегазовое оборудование
329,38420983,Промышленная безопасность
330,38420983,Согласования в территориальных органах надзора
331,38420983,Взаимодействие с надзорными организациями
332,38420983,Сопровождение строительства
333,38420983,Гражданское строительство
334,38460118,MS Access
335,38460118,Turbo Pascal
336,38460118,MATLAB
337,38460118,Mathcad
338,38460118,Pascal
339,38485814,1С программирование
340,38485814,1С: Предприятие 8
341,38505841,Государственные закупки
342,38505841,Пользователь ПК
