,vacancy,spec_name_vac,id_empl,skill,date
0,20120535,Ведущий программист Scala / Java ( Senior Scala / Java Developer ),968814,"Программирование, Разработка",19-04-2021
1,26864852,Frontend-разработчик,46769,"Программирование, Разработка",19-04-2021
2,26864852,Frontend-разработчик,46769,Инженер,19-04-2021
3,26864852,Frontend-разработчик,46769,Электронная коммерция,19-04-2021
4,26864852,Frontend-разработчик,46769,Web инженер,19-04-2021
5,26864852,Frontend-разработчик,46769,Web мастер,19-04-2021
6,27189555,Ведущий web-разработчик,46769,"Программирование, Разработка",19-04-2021
7,27189555,Ведущий web-разработчик,46769,Web инженер,19-04-2021
8,27189555,Ведущий web-разработчик,46769,Интернет,19-04-2021
9,27189555,Ведущий web-разработчик,46769,Web мастер,19-04-2021
10,27189555,Ведущий web-разработчик,46769,Стартапы,19-04-2021
11,27501878,Специалист по работе с обращениями клиентов,3529,"Начальный уровень, Мало опыта",19-04-2021
12,27501878,Специалист по работе с обращениями клиентов,3529,Розничный бизнес,19-04-2021
13,27501878,Специалист по работе с обращениями клиентов,3529,Внутренние операции (Back Office),19-04-2021
14,27501878,Специалист по работе с обращениями клиентов,3529,Коммерческий банк,19-04-2021
15,27501878,Специалист по работе с обращениями клиентов,3529,"Литературная, Редакторская деятельность",19-04-2021
16,27501878,Специалист по работе с обращениями клиентов,3529,"Начальный уровень, Мало опыта",19-04-2021
17,28840586,Junior Java developer,665470,"Программирование, Разработка",19-04-2021
18,28840586,Junior Java developer,665470,Системная интеграция,19-04-2021
19,29513892,Менеджер по продажам на телефоне,4934,"Телекоммуникации, Сетевые решения",19-04-2021
20,29513892,Менеджер по продажам на телефоне,4934,"Продажи по телефону, Телемаркетинг",19-04-2021
21,29513892,Менеджер по продажам на телефоне,4934,Продажи,19-04-2021
22,29513892,Менеджер по продажам на телефоне,4934,Телекоммуникации,19-04-2021
23,29513893,Менеджер по продажам на телефоне,4934,"Телекоммуникации, Сетевые решения",19-04-2021
24,29513893,Менеджер по продажам на телефоне,4934,"Продажи по телефону, Телемаркетинг",19-04-2021
25,29513893,Менеджер по продажам на телефоне,4934,Продажи,19-04-2021
26,29513893,Менеджер по продажам на телефоне,4934,Телекоммуникации,19-04-2021
27,31017795,Senior java developer,665470,"Программирование, Разработка",19-04-2021
28,31017795,Senior java developer,665470,Системная интеграция,19-04-2021
29,31017795,Senior java developer,665470,Инженер,19-04-2021
30,31017795,Senior java developer,665470,Управление проектами,19-04-2021
31,31017795,Senior java developer,665470,Web инженер,19-04-2021
32,31263045,Программист 1С 8,41512,"Программирование, Разработка",19-04-2021
33,31556082,Специалист контактного центра (call-центра) МТС,3776,Информационные технологии,19-04-2021
34,31556082,Специалист контактного центра (call-центра) МТС,3776,"Начальный уровень, Мало опыта",19-04-2021
35,31556082,Специалист контактного центра (call-центра) МТС,3776,"Информационные технологии, Интернет, Мультимедиа",19-04-2021
36,31556082,Специалист контактного центра (call-центра) МТС,3776,Консультирование,19-04-2021
37,31556082,Специалист контактного центра (call-центра) МТС,3776,Сотрудник call-центра,19-04-2021
38,31556179,Оператор call - центра,3776,"Начальный уровень, Мало опыта",19-04-2021
39,31556179,Оператор call - центра,3776,Административный персонал,19-04-2021
40,31556179,Оператор call - центра,3776,Продажи,19-04-2021
41,31556179,Оператор call - центра,3776,"Начальный уровень, Мало опыта",19-04-2021
42,31556179,Оператор call - центра,3776,Сотрудник call-центра,19-04-2021
43,31556179,Оператор call - центра,3776,"Начальный уровень, Мало опыта",19-04-2021
44,31571439,Middle Java developer,665470,"Начальный уровень, Мало опыта",19-04-2021
45,31571439,Middle Java developer,665470,"Программирование, Разработка",19-04-2021
46,31571439,Middle Java developer,665470,Компьютерная безопасность,19-04-2021
47,31571439,Middle Java developer,665470,Инженер,19-04-2021
48,31571439,Middle Java developer,665470,Интернет,19-04-2021
49,31780687,Специалист информационно-технической поддержки (2-ая линия),4046943,Информационные технологии,19-04-2021
