,vacancy,spec_name_vac,id_empl,skill
0,20120535,Ведущий программист Scala / Java ( Senior Scala / Java Developer ),968814,"Программирование, Разработка"
1,26864852,Frontend-разработчик,46769,"Программирование, Разработка"
2,26864852,Frontend-разработчик,46769,Инженер
3,26864852,Frontend-разработчик,46769,Электронная коммерция
4,26864852,Frontend-разработчик,46769,Web инженер
5,26864852,Frontend-разработчик,46769,Web мастер
6,27189555,Ведущий web-разработчик,46769,"Программирование, Разработка"
7,27189555,Ведущий web-разработчик,46769,Web инженер
8,27189555,Ведущий web-разработчик,46769,Интернет
9,27189555,Ведущий web-разработчик,46769,Web мастер
10,27189555,Ведущий web-разработчик,46769,Стартапы
11,27501878,Специалист по работе с обращениями клиентов,3529,"Начальный уровень, Мало опыта"
12,27501878,Специалист по работе с обращениями клиентов,3529,Розничный бизнес
13,27501878,Специалист по работе с обращениями клиентов,3529,Внутренние операции (Back Office)
14,27501878,Специалист по работе с обращениями клиентов,3529,Коммерческий банк
15,27501878,Специалист по работе с обращениями клиентов,3529,"Литературная, Редакторская деятельность"
16,27501878,Специалист по работе с обращениями клиентов,3529,"Начальный уровень, Мало опыта"
17,28261855,Заместитель начальника цеха по технологии (химическая продукция),124322,Химическая промышленность
18,28840586,Junior Java developer,665470,"Программирование, Разработка"
19,28840586,Junior Java developer,665470,Системная интеграция
20,29513892,Менеджер по продажам на телефоне,4934,"Телекоммуникации, Сетевые решения"
21,29513892,Менеджер по продажам на телефоне,4934,"Продажи по телефону, Телемаркетинг"
22,29513892,Менеджер по продажам на телефоне,4934,Продажи
23,29513892,Менеджер по продажам на телефоне,4934,Телекоммуникации
24,29513893,Менеджер по продажам на телефоне,4934,"Телекоммуникации, Сетевые решения"
25,29513893,Менеджер по продажам на телефоне,4934,"Продажи по телефону, Телемаркетинг"
26,29513893,Менеджер по продажам на телефоне,4934,Продажи
27,29513893,Менеджер по продажам на телефоне,4934,Телекоммуникации
28,31017795,Senior java developer,665470,"Программирование, Разработка"
29,31017795,Senior java developer,665470,Системная интеграция
30,31017795,Senior java developer,665470,Инженер
31,31017795,Senior java developer,665470,Управление проектами
32,31017795,Senior java developer,665470,Web инженер
33,31263045,Программист 1С 8,41512,"Программирование, Разработка"
34,31556082,Специалист контактного центра (call-центра) МТС,3776,Информационные технологии
35,31556082,Специалист контактного центра (call-центра) МТС,3776,"Начальный уровень, Мало опыта"
36,31556082,Специалист контактного центра (call-центра) МТС,3776,"Информационные технологии, Интернет, Мультимедиа"
37,31556082,Специалист контактного центра (call-центра) МТС,3776,Консультирование
38,31556082,Специалист контактного центра (call-центра) МТС,3776,Сотрудник call-центра
39,31571439,Middle Java developer,665470,"Начальный уровень, Мало опыта"
40,31571439,Middle Java developer,665470,"Программирование, Разработка"
41,31571439,Middle Java developer,665470,Компьютерная безопасность
42,31571439,Middle Java developer,665470,Инженер
43,31571439,Middle Java developer,665470,Интернет
